city,temperature,rain_probability,country,ip_city
Seoul,28.3,18,Korea,Ashburn
Seoul,27.7,16,Korea,Ashburn
Seoul,27.1,15,Korea,Ashburn
Seoul,26.7,14,Korea,Ashburn
Seoul,26.3,11,Korea,Ashburn
Seoul,25.9,9,Korea,Ashburn
Seoul,25.5,6,Korea,Ashburn
Seoul,25.8,4,Korea,Ashburn
Seoul,26.9,3,Korea,Ashburn
Seoul,28.9,2,Korea,Ashburn
Seoul,30.6,2,Korea,Ashburn
Seoul,31.9,4,Korea,Ashburn
Seoul,33.1,4,Korea,Ashburn
Seoul,34.0,3,Korea,Ashburn
Seoul,34.7,1,Korea,Ashburn
Seoul,35.0,0,Korea,Ashburn
Seoul,35.1,1,Korea,Ashburn
Seoul,35.0,3,Korea,Ashburn
Seoul,34.6,4,Korea,Ashburn
Seoul,33.2,3,Korea,Ashburn
Seoul,31.0,1,Korea,Ashburn
Seoul,29.9,0,Korea,Ashburn
Seoul,29.2,0,Korea,Ashburn
Seoul,28.6,0,Korea,Ashburn
Seoul,28.4,0,Korea,Ashburn
Seoul,27.7,0,Korea,Ashburn
Seoul,27.2,0,Korea,Ashburn
Seoul,26.6,0,Korea,Ashburn
Seoul,26.0,0,Korea,Ashburn
Seoul,25.5,0,Korea,Ashburn
Seoul,25.1,0,Korea,Ashburn
Seoul,25.3,0,Korea,Ashburn
Seoul,26.5,0,Korea,Ashburn
Seoul,28.1,0,Korea,Ashburn
Seoul,29.8,0,Korea,Ashburn
Seoul,31.6,0,Korea,Ashburn
Seoul,33.0,0,Korea,Ashburn
Seoul,34.2,0,Korea,Ashburn
Seoul,35.1,0,Korea,Ashburn
Seoul,35.7,0,Korea,Ashburn
Seoul,36.1,5,Korea,Ashburn
Seoul,36.2,12,Korea,Ashburn
Seoul,35.7,16,Korea,Ashburn
Seoul,34.2,12,Korea,Ashburn
Seoul,32.3,5,Korea,Ashburn
Seoul,30.9,0,Korea,Ashburn
Seoul,29.9,0,Korea,Ashburn
Seoul,29.2,0,Korea,Ashburn
Seoul,28.6,0,Korea,Ashburn
Seoul,28.2,0,Korea,Ashburn
Seoul,27.6,0,Korea,Ashburn
Seoul,27.1,0,Korea,Ashburn
Seoul,26.8,0,Korea,Ashburn
Seoul,26.7,0,Korea,Ashburn
Seoul,26.6,0,Korea,Ashburn
Seoul,26.9,0,Korea,Ashburn
Seoul,27.9,0,Korea,Ashburn
Seoul,29.4,0,Korea,Ashburn
Seoul,31.1,3,Korea,Ashburn
Seoul,32.4,8,Korea,Ashburn
Seoul,33.3,18,Korea,Ashburn
Seoul,31.9,40,Korea,Ashburn
Seoul,30.9,67,Korea,Ashburn
Seoul,30.3,86,Korea,Ashburn
Seoul,29.4,93,Korea,Ashburn
Seoul,28.6,92,Korea,Ashburn
Seoul,27.7,84,Korea,Ashburn
Seoul,26.6,64,Korea,Ashburn
Seoul,25.8,37,Korea,Ashburn
Seoul,25.5,16,Korea,Ashburn
Seoul,25.3,7,Korea,Ashburn
Seoul,25.2,4,Korea,Ashburn
